"ID_UNIDADE";"FK_ID_ALOC";"TIPO";"DATA_FUND";"DENOM";"STATUS";"FK_ID_LOCAL";"COMP";"ZONA";"CUSTO_MANUTEN";"CUSTO_IMPLEMENT";"CONSUMO_AGUA";"POLUICAO_AMB";"POLUICAO_SONORA";"CONSUMO_ENERG";"CAP_MAX_PROD";"CAP_ATUAL_PROD";"QTDE_MAX_CAMINHOES";"TAXA_ATUAL_ARMAZ";"TAXA_ATUAL_PROCESS";"QTDE_ATUAL_CAMINHOES";"TOTAL_VAGAS_TRAB";"TOTAL_ATUAL_TRAB";"VARIACAO";"MATERIA_PRIMA";"PRODUTO_FINAL";"MODO_ARMAZ";"CAP_MAX_EST";"CAP_ATUAL_EST"
1;6;"EXTRAÇÃO";"2022-04-30";"CAMPO DE FRUTAS GRANDE I";1;14;"ESTRADA JACKSON";"O";60.0;15000.0;640;0;0;0;11200;19936;10;0;0;4;27;26;"PERAS";"-";"GRÃOS";"-";40;4
2;6;"EXTRAÇÃO";"2022-04-30";"CAMPO DE FRUTAS GRANDE II";1;14;"ESTRADA JACKSON";"O";60.0;15000.0;640;0;0;0;11200;10752;10;0;0;2;27;26;"MAÇÃS";"-";"GRÃOS";"-";40;4
3;6;"EXTRAÇÃO";"2022-04-30";"CAMPO DE FRUTAS GRANDE III";1;14;"RUA COVAS";"O";60.0;15000.0;640;0;0;0;11200;17920;10;0;0;2;27;24;"LARANJAS";"-";"GRÃOS";"-";40;5
4;6;"EXTRAÇÃO";"2022-11-07";"CAMPO DE FRUTAS MÉDIO I";1;14;"ALAMEDA DIXON";"O";42.0;10000.0;560;0;0;0;8000;10640;8;0;0;4;22;21;"MAÇÃS";"-";"GRÃOS";"-";32;1
5;6;"EXTRAÇÃO";"2022-05-02";"CAMPO DE FRUTAS PEQUENO I";1;14;"ALAMEDA DIXON";"O";18.0;5000.0;400;0;0;0;4800;5328;5;0;0;1;20;20;"LARANJAS";"-";"GRÃOS";"-";23;3
6;6;"EXTRAÇÃO";"2022-06-08";"ESTUFA DE GRÃOS MÉDIA I";1;14;"CAMINHO JEREMY";"O";42.0;10000.0;560;0;0;0;8000;10240;8;0;0;3;22;22;"ESTUFA";"-";"GRÃOS";"-";32;5
7;6;"EXTRAÇÃO";"2024-05-29";"ESTUFA DE GRÃOS MÉDIA II";1;14;"RUA ASHLYN";"O";42.0;10000.0;560;0;0;0;8000;14240;8;0;0;3;22;19;"ESTUFA";"-";"GRÃOS";"-";32;5
8;6;"EXTRAÇÃO";"2025-10-10";"ESTUFA DE GRÃOS MÉDIA III";1;14;"RUA PRICE";"O";42.0;10000.0;560;0;0;0;8000;14240;8;0;0;1;22;22;"ESTUFA";"-";"GRÃOS";"-";32;0
9;6;"EXTRAÇÃO";"2025-10-10";"CAMPO DE GRÃOS MÉDIO I";1;14;"ESTRADA JACKSON";"O";42.0;10000.0;560;0;0;0;8000;8080;8;0;0;2;22;22;"BATATAS";"-";"GRÃOS";"-";32;8
10;6;"EXTRAÇÃO";"2025-10-25";"CAMPO DE GRÃOS MÉDIO II";1;14;"ESTRADA JACKSON";"O";42.0;10000.0;560;0;0;0;8000;13520;8;0;0;2;22;16;"BATATAS";"-";"GRÃOS";"-";32;0
11;6;"EXTRAÇÃO";"2025-10-25";"CAMPO DE GRÃOS MÉDIO III";1;14;"RUA SMITH";"O";42.0;10000.0;560;0;0;0;8000;14240;8;0;0;4;22;19;"MILHO";"-";"GRÃOS";"-";32;4
12;6;"EXTRAÇÃO";"2025-10-25";"CAMPO DE GRÃOS MÉDIO IV";1;14;"RUA SMITH";"O";42.0;10000.0;560;0;0;0;8000;8880;8;0;0;2;22;20;"MILHO";"-";"GRÃOS";"-";32;5
13;6;"EXTRAÇÃO";"2023-04-12";"CAMPO DE GRÃOS MÉDIO V";1;14;"CAMINHO JEREMY";"O";42.0;10000.0;560;0;0;0;8000;9440;8;0;0;1;22;20;"TRIGO";"-";"GRÃOS";"-";32;5
14;6;"EXTRAÇÃO";"2023-04-12";"CAMPO DE GRÃOS GRANDE I";1;14;"RUA WRIGHT";"O";60.0;15000.0;640;0;0;0;11200;11424;10;0;0;3;27;22;"TRIGO";"-";"GRÃOS";"-";40;2
15;6;"EXTRAÇÃO";"2026-07-14";"CAMPO DE GRÃOS GRANDE II";1;14;"RUA ASHLYN";"O";60.0;15000.0;640;0;0;0;11200;18880;10;0;0;3;27;25;"ALGODÃO";"-";"GRÃOS";"-";40;6
16;6;"EXTRAÇÃO";"2026-07-14";"CAMPO DE GRÃOS GRANDE III";1;14;"RUA PRICE";"O";60.0;15000.0;640;0;0;0;11200;19936;10;0;0;6;27;27;"MILHO";"-";"GRÃOS";"-";40;3
17;6;"EXTRAÇÃO";"2026-08-01";"CAMPO DE GRÃOS GRANDE IV";1;14;"RUA PRICE";"O";60.0;15000.0;640;0;0;0;11200;19936;10;0;0;6;27;26;"MILHO";"-";"GRÃOS";"-";40;2
18;6;"EXTRAÇÃO";"2029-03-05";"CAMPO DE GRÃOS GRANDE V";1;14;"RUA HAMILTON";"O";60.0;15000.0;640;0;0;0;11200;17024;10;0;0;4;27;26;"BATATAS";"-";"GRÃOS";"-";40;8
19;6;"EXTRAÇÃO";"2024-07-12";"ESTUFA DE FRUTAS GRANDE I";1;14;"ESTRADA JACKSON";"O";60.0;15000.0;640;0;0;0;11200;14336;10;0;0;2;27;27;"ESTUFA";"-";"GRÃOS";"-";40;5
20;6;"PROCESSAMENTO";"2022-01-27";"PASTO GRANDE I";1;14;"RUA JACKSON";"O";240.0;25000.0;560;0;50;0;5600;9968;8;12;1;7;33;33;"PORCOS";"GRÃOS";"PROD. ANIMAIS";"-";0;0
21;6;"PROCESSAMENTO";"2022-02-16";"PASTO GRANDE II";1;14;"RUA JACKSON";"O";240.0;25000.0;560;0;50;0;5600;9968;8;2;2;7;33;32;"OVELHAS";"GRÃOS";"PROD. ANIMAIS";"-";0;0
22;6;"PROCESSAMENTO";"2022-02-28";"PASTO GRANDE III";1;14;"ESTRADA JACKSON";"O";240.0;25000.0;560;0;50;0;5600;9968;8;15;11;8;33;31;"VACAS HIGHLAND";"GRÃOS";"PROD. ANIMAIS";"-";0;0
23;6;"PROCESSAMENTO";"2030-11-01";"PASTO GRANDE IV";1;14;"ESTRADA JACKSON";"O";240.0;25000.0;560;0;50;0;5600;9968;8;25;1;8;33;31;"VACAS";"GRÃOS";"PROD. ANIMAIS";"-";0;0
24;6;"PROCESSAMENTO";"2022-11-14";"CURRAL I";1;14;"RUA WARD";"O";240.0;15000.0;320;20;50;240;3200;5696;5;17;7;3;55;54;"-";"GRÃOS";"PROD. ANIMAIS";"-";0;0
