"ID_UNIDADE";"FK_ID_ALOC";"TIPO";"DATA_FUND";"DENOM";"STATUS";"FK_ID_LOCAL";"COMP";"ZONA";"CUSTO_MANUTEN";"CUSTO_IMPLEMENT";"CONSUMO_AGUA";"POLUICAO_AMB";"POLUICAO_SONORA";"CONSUMO_ENERG";"CAP_MAX_PROD";"CAP_ATUAL_PROD";"QTDE_MAX_CAMINHOES";"TAXA_ATUAL_ARMAZ";"TAXA_ATUAL_PROCESS";"QTDE_ATUAL_CAMINHOES";"TOTAL_VAGAS_TRAB";"TOTAL_ATUAL_TRAB";"VARIACAO";"MATERIA_PRIMA";"PRODUTO_FINAL";"MODO_ARMAZ";"CAP_MAX_EST";"CAP_ATUAL_EST"
1;7;"EXTRAÇÃO";"2027-01-23";"MINA GRANDE I";1;32;"ESTRADA DO SABÃO";"L";192.0;43750.0;480;50;50;1120;11200;16352;10;0;0;8;80;43;"-";"-";"MINÉRIO";"-";38;9
2;7;"EXTRAÇÃO";"2027-01-23";"MINA GRANDE II";1;32;"ESTRADA DO SABÃO";"L";192.0;43750.0;480;50;50;1120;11200;16352;10;0;0;7;80;45;"-";"-";"MINÉRIO";"-";38;6
3;7;"EXTRAÇÃO";"2027-02-16";"MINA PEQUENA I";1;32;"ESTRADA JULIE COOK";"L";24.0;8125.0;240;30;40;320;4800;7008;5;0;0;2;25;19;"-";"-";"MINÉRIO";"-";22;7
4;7;"EXTRAÇÃO";"2027-02-16";"MINA PEQUENA II";1;32;"ESTRADA JULIE COOK";"L";24.0;8125.0;240;30;40;320;4800;7008;5;0;0;3;25;21;"-";"-";"MINÉRIO";"-";22;3
5;7;"EXTRAÇÃO";"2027-07-03";"MINA MÉDIA I";1;32;"ESTRADA JULIE COOK";"L";72.0;16250.0;320;40;40;480;8000;11680;8;0;0;3;30;19;"-";"-";"MINÉRIO";"-";30;7
6;7;"EXTRAÇÃO";"2027-07-03";"MINA MÉDIA II";1;32;"ESTRADA DO SABÃO";"L";72.0;16250.0;320;40;40;480;8000;11680;8;0;0;4;30;25;"-";"-";"MINÉRIO";"-";30;2
7;7;"EXTRAÇÃO";"2027-07-03";"MINA SUBTERRÂNEA GRANDE I";1;32;"AV. CASTANHEIRA";"L";96.0;22500.0;400;50;50;960;9600;14016;8;0;0;5;55;28;"-";"-";"MINÉRIO";"-";34;2
8;7;"EXTRAÇÃO";"2027-07-03";"MINA SUBTERRÂNEA GRANDE II";1;32;"AV. CASTANHEIRA";"L";96.0;22500.0;400;50;50;960;9600;14016;8;0;0;6;55;27;"-";"-";"MINÉRIO";"-";34;2
9;7;"EXTRAÇÃO";"2027-07-03";"MINA SUBTERRÂNEA GRANDE III";1;32;"AV. CASTANHEIRA";"L";96.0;22500.0;400;50;50;960;9600;14016;8;0;0;3;55;30;"-";"-";"MINÉRIO";"-";34;7
10;7;"EXTRAÇÃO";"2027-07-03";"MINA SUBTERRÂNEA PEQUENA I";1;32;"AV. CASTANHEIRA";"L";48.0;12500.0;240;50;50;480;6400;9344;5;0;0;2;35;24;"-";"-";"MINÉRIO";"-";26;2
