"ID_UNIDADE";"FK_ID_ALOC";"TIPO";"DATA_FUND";"DENOM";"STATUS";"FK_ID_LOCAL";"COMP";"ZONA";"CUSTO_MANUTEN";"CUSTO_IMPLEMENT";"CONSUMO_AGUA";"POLUICAO_AMB";"POLUICAO_SONORA";"CONSUMO_ENERG";"CAP_MAX_PROD";"CAP_ATUAL_PROD";"QTDE_MAX_CAMINHOES";"TAXA_ATUAL_ARMAZ";"TAXA_ATUAL_PROCESS";"QTDE_ATUAL_CAMINHOES";"TOTAL_VAGAS_TRAB";"TOTAL_ATUAL_TRAB";"VARIACAO";"MATERIA_PRIMA";"PRODUTO_FINAL";"MODO_ARMAZ";"CAP_MAX_EST";"CAP_ATUAL_EST"
1;8;"EXTRAÇÃO";"2031-06-10";"PLATAFORMA PETROLÍFERA GRANDE I";1;25;"RUA EUCALIPTO";"L";120.0;25000.0;320;60;60;800;9600;14592;8;0;0;1;50;41;"-";"ÓLEO";"-";"-";36;7
2;8;"EXTRAÇÃO";"2031-06-10";"PLATAFORMA PETROLÍFERA GRANDE II";1;25;"RUA DAVIES";"L";120.0;25000.0;320;60;60;800;9600;14592;8;0;0;1;50;43;"-";"ÓLEO";"-";"-";36;7
3;8;"EXTRAÇÃO";"2031-08-01";"PLATAFORMA PETROLÍFERA GRANDE III";1;25;"RUA DAVIES";"L";120.0;25000.0;320;60;60;800;9600;14592;8;0;0;1;50;37;"-";"ÓLEO";"-";"-";36;4
4;8;"EXTRAÇÃO";"2031-08-01";"PLATAFORMA PETROLÍFERA GRANDE IV";1;25;"RUA DAVIES";"L";120.0;25000.0;320;60;60;800;9600;14592;8;0;0;1;50;41;"-";"ÓLEO";"-";"-";36;8
5;8;"EXTRAÇÃO";"2031-09-29";"PLATAFORMA PETROLÍFERA GRANDE V";1;25;"RUA DAVIES";"L";120.0;25000.0;320;60;60;800;9600;14592;8;0;0;1;50;38;"-";"ÓLEO";"-";"-";36;7
6;8;"EXTRAÇÃO";"2031-09-29";"BOMBA DE PETRÓLEO GRANDE I";1;25;"RUA EUCALIPTO";"L";72.0;20000.0;400;50;60;960;8000;12160;8;0;0;2;30;29;"-";"ÓLEO";"-";"-";32;1
7;8;"EXTRAÇÃO";"2031-09-29";"BOMBA DE PETRÓLEO GRANDE II";1;25;"RUA EUCALIPTO";"L";72.0;20000.0;400;50;60;960;8000;12160;8;0;0;2;30;30;"-";"ÓLEO";"-";"-";32;2
8;8;"EXTRAÇÃO";"2031-09-29";"BOMBA DE PETRÓLEO GRANDE III";1;25;"RUA DAVIES";"L";72.0;20000.0;400;50;60;960;8000;12160;8;0;0;1;30;30;"-";"ÓLEO";"-";"-";32;6
9;8;"EXTRAÇÃO";"2031-11-01";"BOMBA DE PETRÓLEO GRANDE IV";1;25;"RUA DAVIES";"L";72.0;20000.0;400;50;60;960;8000;12160;8;0;0;1;30;28;"-";"ÓLEO";"-";"-";32;2
10;8;"EXTRAÇÃO";"2031-12-18";"BOMBA DE PETRÓLEO PEQUENA I";1;25;"RUA EUCALIPTO";"L";36.0;10000.0;240;30;40;480;4800;7296;5;0;0;1;18;16;"-";"ÓLEO";"-";"-";23;6
11;8;"EXTRAÇÃO";"2031-12-18";"BOMBA DE PETRÓLEO PEQUENA II";1;25;"RUA EUCALIPTO";"L";36.0;10000.0;240;30;40;480;4800;7296;5;0;0;1;18;15;"-";"ÓLEO";"-";"-";23;8
12;8;"TRANSFORMAÇÃO";"2031-02-21";"PLANTA PETROQUÍMICA I";1;25;"BOULEVARD MORGAN";"L";480.0;37500.0;320;70;50;1600;4000;6080;5;11000;5000;3;80;40;"-";"ÓLEO";"PLÁSTICO";"-";0;0
13;8;"TRANSFORMAÇÃO";"2032-03-26";"USINA DE PIRÓLISE DE RESÍDUOS DE PETRÓLEO I";1;25;"RUA DAVIES";"L";360.0;31250.0;240;50;50;800;4000;6080;5;11000;5000;3;70;37;"-";"ÓLEO";"PETRÓLEO";"-";0;0
14;8;"TRANSFORMAÇÃO";"2032-07-04";"USINA DE CRAQUEAMENTO DE NAPHTHA I";1;25;"RUA DAVIES";"L";720.0;50000.0;240;70;50;1600;8000;12160;8;16000;12000;8;100;45;"-";"ÓLEO";"PLÁSTICO";"-";0;0
15;8;"TRANSFORMAÇÃO";"2032-09-20";"USINA DE CRAQUEAMENTO DE NAPHTHA II";1;25;"RUA THOMPSON";"L";720.0;50000.0;240;70;50;1600;8000;12160;8;16000;14000;8;100;35;"-";"ÓLEO";"PLÁSTICO";"-";0;0
16;8;"TRANSFORMAÇÃO";"2032-10-10";"REFINARIA DE RESÍDUOS DE PETRÓLEO I";1;25;"RUA EMERSON";"L";600.0;43750.0;240;80;50;1120;8000;12160;8;18000;3000;8;90;54;"-";"ÓLEO";"PETRÓLEO";"-";0;0
